,date,search_term,interest
511,2020-09-27,efficient boiler,42
512,2020-10-04,efficient boiler,9
513,2020-10-11,efficient boiler,24
514,2020-10-18,efficient boiler,30
515,2020-10-25,efficient boiler,48
516,2020-11-01,efficient boiler,16
517,2020-11-08,efficient boiler,35
518,2020-11-15,efficient boiler,10
519,2020-11-22,efficient boiler,20
520,2020-11-29,efficient boiler,27
521,2020-12-06,efficient boiler,0
522,2020-12-13,efficient boiler,0
523,2020-12-20,efficient boiler,33
524,2020-12-27,efficient boiler,27
525,2021-01-03,efficient boiler,29
526,2021-01-10,efficient boiler,43
527,2021-01-17,efficient boiler,26
528,2021-01-24,efficient boiler,44
529,2021-01-31,efficient boiler,21
530,2021-02-07,efficient boiler,45
531,2021-02-14,efficient boiler,26
532,2021-02-21,efficient boiler,22
533,2021-02-28,efficient boiler,31
534,2021-03-07,efficient boiler,0
535,2021-03-14,efficient boiler,26
536,2021-03-21,efficient boiler,0
537,2021-03-28,efficient boiler,27
538,2021-04-04,efficient boiler,0
539,2021-04-11,efficient boiler,20
540,2021-04-18,efficient boiler,15
541,2021-04-25,efficient boiler,45
542,2021-05-02,efficient boiler,12
543,2021-05-09,efficient boiler,28
544,2021-05-16,efficient boiler,24
545,2021-05-23,efficient boiler,14
546,2021-05-30,efficient boiler,12
547,2021-06-06,efficient boiler,0
548,2021-06-13,efficient boiler,0
549,2021-06-20,efficient boiler,10
550,2021-06-27,efficient boiler,9
551,2021-07-04,efficient boiler,0
552,2021-07-11,efficient boiler,0
553,2021-07-18,efficient boiler,20
554,2021-07-25,efficient boiler,24
555,2021-08-01,efficient boiler,0
556,2021-08-08,efficient boiler,23
557,2021-08-15,efficient boiler,26
558,2021-08-22,efficient boiler,12
559,2021-08-29,efficient boiler,43
560,2021-09-05,efficient boiler,0
561,2021-09-12,efficient boiler,12
562,2021-09-19,efficient boiler,49
563,2021-09-26,efficient boiler,18
564,2021-10-03,efficient boiler,62
565,2021-10-10,efficient boiler,55
566,2021-10-17,efficient boiler,60
567,2021-10-24,efficient boiler,24
568,2021-10-31,efficient boiler,40
569,2021-11-07,efficient boiler,49
570,2021-11-14,efficient boiler,40
571,2021-11-21,efficient boiler,31
572,2021-11-28,efficient boiler,55
573,2021-12-05,efficient boiler,10
574,2021-12-12,efficient boiler,0
575,2021-12-19,efficient boiler,19
576,2021-12-26,efficient boiler,35
577,2022-01-02,efficient boiler,31
578,2022-01-09,efficient boiler,29
579,2022-01-16,efficient boiler,29
580,2022-01-23,efficient boiler,52
581,2022-01-30,efficient boiler,54
582,2022-02-06,efficient boiler,74
583,2022-02-13,efficient boiler,44
584,2022-02-20,efficient boiler,55
585,2022-02-27,efficient boiler,43
586,2022-03-06,efficient boiler,82
587,2022-03-13,efficient boiler,47
588,2022-03-20,efficient boiler,44
589,2022-03-27,efficient boiler,89
590,2022-04-03,efficient boiler,59
591,2022-04-10,efficient boiler,0
592,2022-04-17,efficient boiler,12
593,2022-04-24,efficient boiler,16
594,2022-05-01,efficient boiler,21
595,2022-05-08,efficient boiler,44
596,2022-05-15,efficient boiler,19
597,2022-05-22,efficient boiler,27
598,2022-05-29,efficient boiler,15
599,2022-06-05,efficient boiler,26
600,2022-06-12,efficient boiler,15
601,2022-06-19,efficient boiler,42
602,2022-06-26,efficient boiler,25
603,2022-07-03,efficient boiler,0
604,2022-07-10,efficient boiler,0
605,2022-07-17,efficient boiler,34
606,2022-07-24,efficient boiler,28
607,2022-07-31,efficient boiler,41
608,2022-08-07,efficient boiler,44
609,2022-08-14,efficient boiler,45
610,2022-08-21,efficient boiler,83
611,2022-08-28,efficient boiler,100
612,2022-09-04,efficient boiler,75
613,2022-09-11,efficient boiler,48
614,2022-09-18,efficient boiler,32
615,2022-09-25,efficient boiler,72
616,2022-10-02,efficient boiler,62
617,2022-10-09,efficient boiler,46
618,2022-10-16,efficient boiler,97
619,2022-10-23,efficient boiler,25
620,2022-10-30,efficient boiler,61
621,2022-11-06,efficient boiler,32
622,2022-11-13,efficient boiler,91
623,2022-11-20,efficient boiler,71
624,2018-12-02,energy efficient,12
625,2018-12-09,energy efficient,9
626,2018-12-16,energy efficient,13
627,2018-12-23,energy efficient,9
628,2018-12-30,energy efficient,13
629,2019-01-06,energy efficient,14
630,2019-01-13,energy efficient,14
631,2019-01-20,energy efficient,12
632,2019-01-27,energy efficient,11
633,2019-02-03,energy efficient,13
634,2019-02-10,energy efficient,10
635,2019-02-17,energy efficient,8
636,2019-02-24,energy efficient,14
637,2019-03-03,energy efficient,9
638,2019-03-10,energy efficient,9
639,2019-03-17,energy efficient,8
640,2019-03-24,energy efficient,9
641,2019-03-31,energy efficient,10
642,2019-04-07,energy efficient,9
643,2019-04-14,energy efficient,9
644,2019-04-21,energy efficient,8
645,2019-04-28,energy efficient,12
646,2019-05-05,energy efficient,10
647,2019-05-12,energy efficient,11
648,2019-05-19,energy efficient,11
649,2019-05-26,energy efficient,7
650,2019-06-02,energy efficient,11
651,2019-06-09,energy efficient,12
652,2019-06-16,energy efficient,9
653,2019-06-23,energy efficient,5
654,2019-06-30,energy efficient,6
655,2019-07-07,energy efficient,10
656,2019-07-14,energy efficient,12
657,2019-07-21,energy efficient,10
658,2019-07-28,energy efficient,11
659,2019-08-04,energy efficient,7
660,2019-08-11,energy efficient,12
661,2019-08-18,energy efficient,7
662,2019-08-25,energy efficient,6
663,2019-09-01,energy efficient,9
664,2019-09-08,energy efficient,14
665,2019-09-15,energy efficient,10
666,2019-09-22,energy efficient,10
667,2019-09-29,energy efficient,16
668,2019-10-06,energy efficient,15
669,2019-10-13,energy efficient,17
670,2019-10-20,energy efficient,17
671,2019-10-27,energy efficient,17
672,2019-11-03,energy efficient,15
673,2019-11-10,energy efficient,16
674,2019-11-17,energy efficient,19
675,2019-11-24,energy efficient,14
676,2019-12-01,energy efficient,17
677,2019-12-08,energy efficient,13
678,2019-12-15,energy efficient,17
679,2019-12-22,energy efficient,8
680,2019-12-29,energy efficient,12
681,2020-01-05,energy efficient,17
682,2020-01-12,energy efficient,17
683,2020-01-19,energy efficient,13
684,2020-01-26,energy efficient,11
685,2020-02-02,energy efficient,16
686,2020-02-09,energy efficient,15
687,2020-02-16,energy efficient,17
688,2020-02-23,energy efficient,10
689,2020-03-01,energy efficient,12
690,2020-03-08,energy efficient,10
691,2020-03-15,energy efficient,9
692,2020-03-22,energy efficient,11
693,2020-03-29,energy efficient,8
694,2020-04-05,energy efficient,11
695,2020-04-12,energy efficient,9
696,2020-04-19,energy efficient,11
697,2020-04-26,energy efficient,8
698,2020-05-03,energy efficient,15
699,2020-05-10,energy efficient,12
700,2020-05-17,energy efficient,12
701,2020-05-24,energy efficient,7
702,2020-05-31,energy efficient,14
703,2020-06-07,energy efficient,9
704,2020-06-14,energy efficient,11
705,2020-06-21,energy efficient,12
706,2020-06-28,energy efficient,11
707,2020-07-05,energy efficient,30
708,2020-07-12,energy efficient,11
709,2020-07-19,energy efficient,16
710,2020-07-26,energy efficient,11
711,2020-08-02,energy efficient,19
712,2020-08-09,energy efficient,13
713,2020-08-16,energy efficient,11
714,2020-08-23,energy efficient,10
715,2020-08-30,energy efficient,16
716,2020-09-06,energy efficient,15
717,2020-09-13,energy efficient,14
718,2020-09-20,energy efficient,15
719,2020-09-27,energy efficient,23
720,2020-10-04,energy efficient,21
721,2020-10-11,energy efficient,18
722,2020-10-18,energy efficient,15
723,2020-10-25,energy efficient,15
724,2020-11-01,energy efficient,20
725,2020-11-08,energy efficient,16
726,2020-11-15,energy efficient,14
727,2020-11-22,energy efficient,18
728,2020-11-29,energy efficient,17
729,2020-12-06,energy efficient,19
730,2020-12-13,energy efficient,11
731,2020-12-20,energy efficient,10
732,2020-12-27,energy efficient,15
733,2021-01-03,energy efficient,22
734,2021-01-10,energy efficient,19
735,2021-01-17,energy efficient,17
736,2021-01-24,energy efficient,15
737,2021-01-31,energy efficient,18
738,2021-02-07,energy efficient,22
739,2021-02-14,energy efficient,9
740,2021-02-21,energy efficient,16
741,2021-02-28,energy efficient,16
742,2021-03-07,energy efficient,15
743,2021-03-14,energy efficient,11
744,2021-03-21,energy efficient,11
745,2021-03-28,energy efficient,9
746,2021-04-04,energy efficient,16
747,2021-04-11,energy efficient,12
748,2021-04-18,energy efficient,13
749,2021-04-25,energy efficient,13
750,2021-05-02,energy efficient,13
751,2021-05-09,energy efficient,18
752,2021-05-16,energy efficient,9
753,2021-05-23,energy efficient,13
754,2021-05-30,energy efficient,12
755,2021-06-06,energy efficient,12
756,2021-06-13,energy efficient,9
757,2021-06-20,energy efficient,8
758,2021-06-27,energy efficient,9
759,2021-07-04,energy efficient,9
760,2021-07-11,energy efficient,9
761,2021-07-18,energy efficient,13
762,2021-07-25,energy efficient,16
763,2021-08-01,energy efficient,10
764,2021-08-08,energy efficient,10
765,2021-08-15,energy efficient,11
766,2021-08-22,energy efficient,12
767,2021-08-29,energy efficient,13
768,2021-09-05,energy efficient,12
769,2021-09-12,energy efficient,16
770,2021-09-19,energy efficient,17
771,2021-09-26,energy efficient,20
772,2021-10-03,energy efficient,25
773,2021-10-10,energy efficient,24
774,2021-10-17,energy efficient,26
775,2021-10-24,energy efficient,21
776,2021-10-31,energy efficient,28
777,2021-11-07,energy efficient,23
778,2021-11-14,energy efficient,15
779,2021-11-21,energy efficient,24
780,2021-11-28,energy efficient,22
781,2021-12-05,energy efficient,22
782,2021-12-12,energy efficient,14
783,2021-12-19,energy efficient,18
784,2021-12-26,energy efficient,16
785,2022-01-02,energy efficient,25
786,2022-01-09,energy efficient,22
787,2022-01-16,energy efficient,30
788,2022-01-23,energy efficient,25
789,2022-01-30,energy efficient,35
790,2022-02-06,energy efficient,27
791,2022-02-13,energy efficient,22
792,2022-02-20,energy efficient,24
793,2022-02-27,energy efficient,26
794,2022-03-06,energy efficient,38
795,2022-03-13,energy efficient,25
796,2022-03-20,energy efficient,24
797,2022-03-27,energy efficient,43
798,2022-04-03,energy efficient,45
799,2022-04-10,energy efficient,30
800,2022-04-17,energy efficient,21
801,2022-04-24,energy efficient,24
802,2022-05-01,energy efficient,23
803,2022-05-08,energy efficient,23
804,2022-05-15,energy efficient,17
805,2022-05-22,energy efficient,25
806,2022-05-29,energy efficient,21
807,2022-06-05,energy efficient,19
808,2022-06-12,energy efficient,17
809,2022-06-19,energy efficient,19
810,2022-06-26,energy efficient,20
811,2022-07-03,energy efficient,19
812,2022-07-10,energy efficient,20
813,2022-07-17,energy efficient,19
814,2022-07-24,energy efficient,26
815,2022-07-31,energy efficient,29
816,2022-08-07,energy efficient,31
817,2022-08-14,energy efficient,28
818,2022-08-21,energy efficient,55
819,2022-08-28,energy efficient,100
820,2022-09-04,energy efficient,70
821,2022-09-11,energy efficient,53
822,2022-09-18,energy efficient,56
823,2022-09-25,energy efficient,83
824,2022-10-02,energy efficient,66
825,2022-10-09,energy efficient,58
826,2022-10-16,energy efficient,51
827,2022-10-23,energy efficient,46
828,2022-10-30,energy efficient,58
829,2022-11-06,energy efficient,51
830,2022-11-13,energy efficient,57
831,2022-11-20,energy efficient,61
