,Lifter,Date,variable,value
343,Micah Tumpap,06/18/2022,points_ipf_gl,95.76
344,Joshua Hall,03/26/2022,points_ipf_gl,95.75
345,Sean Sullivan,06/08/2022,points_ipf_gl,95.74
346,Alex Hong,04/02/2022,points_ipf_gl,95.74
347,Jhamal Williams,03/26/2022,points_ipf_gl,95.72
348,Killian Turner,04/16/2022,points_ipf_gl,95.7
349,Guillermo Casal,06/08/2022,points_ipf_gl,95.7
350,Shawn Alexander,03/06/2022,points_ipf_gl,95.67
351,Nicholas Farison,03/06/2022,points_ipf_gl,95.65
352,Joshua Espinosa,09/10/2022,points_ipf_gl,95.65
353,Joshua Heiss,06/08/2022,points_ipf_gl,95.59
354,Adam Proben,03/26/2022,points_ipf_gl,95.57
355,Jacob Hernandez,08/13/2022,points_ipf_gl,95.56
356,Julian Posas,01/29/2022,points_ipf_gl,95.55
357,William Hemmen,06/08/2022,points_ipf_gl,95.54
358,Mark Heimann,06/08/2022,points_ipf_gl,95.53
359,Blake Trevillian,03/30/2022,points_ipf_gl,95.53
360,Jonathan Avril,04/30/2022,points_ipf_gl,95.49
361,Blayne Kildahl,03/23/2022,points_ipf_gl,95.47
362,Mirwaise Masroor,06/08/2022,points_ipf_gl,95.44
363,Christopher Hanna,04/02/2022,points_ipf_gl,95.41
364,Keenan Dung,03/06/2022,points_ipf_gl,95.4
365,Marcos Chavez,03/26/2022,points_ipf_gl,95.4
366,Josh Wade,04/23/2022,points_ipf_gl,95.4
367,Victor Cabali,06/08/2022,points_ipf_gl,95.39
368,Jean-Louis Nguyen,06/08/2022,points_ipf_gl,95.38
369,Daniel Fuentes,08/13/2022,points_ipf_gl,95.35
370,James Flanigan,06/08/2022,points_ipf_gl,95.33
371,Damarrio Holloway,02/19/2022,points_ipf_gl,95.32
372,Charr Gahagan,03/04/2022,points_ipf_gl,95.26
373,Brady Flasch,03/05/2022,points_ipf_gl,95.26
374,Nicklas Haddad,06/08/2022,points_ipf_gl,95.26
375,Ben Sanchez,09/10/2022,points_ipf_gl,95.25
376,Ryan Robertson,03/26/2022,points_ipf_gl,95.25
377,Tim Hansen,03/23/2022,points_ipf_gl,95.24
378,Carlos Mata,06/08/2022,points_ipf_gl,95.24
379,Henry Huynhnguyen,10/16/2022,points_ipf_gl,95.23
380,Daniel Chen,05/07/2022,points_ipf_gl,95.23
381,Riley Hennessey,03/26/2022,points_ipf_gl,95.23
382,Judah Jones,06/08/2022,points_ipf_gl,95.21
383,Sebastian Baytan,03/05/2022,points_ipf_gl,95.2
384,Bryce Martin,06/18/2022,points_ipf_gl,95.2
385,Lorenz Licudine,03/30/2022,points_ipf_gl,95.2
386,Ragheb Abu-rubieh,07/30/2022,points_ipf_gl,95.2
387,Richard Readdy,06/08/2022,points_ipf_gl,95.19
388,Samuel Marusic,05/07/2022,points_ipf_gl,95.19
389,Austin Brouillard,10/15/2022,points_ipf_gl,95.18
390,Luis Trujillo,07/23/2022,points_ipf_gl,95.17
391,Carrington Amadi,06/08/2022,points_ipf_gl,95.16
392,Omar Marquez,06/08/2022,points_ipf_gl,95.14
393,Gabriel Rogers,10/15/2022,points_ipf_gl,95.14
394,Charles Ellison,03/26/2022,points_ipf_gl,95.12
395,Daniel Tum Suden,07/23/2022,points_ipf_gl,95.12
396,Josue Paredes,03/19/2022,points_ipf_gl,95.11
397,Ricardo Gomez,07/30/2022,points_ipf_gl,95.08
398,Wesley Mull,01/15/2022,points_ipf_gl,95.08
399,Benjamin Lawrence,08/06/2022,points_ipf_gl,95.07
400,Stuart Feng,04/16/2022,points_ipf_gl,95.06
401,Jaime Turcios,06/08/2022,points_ipf_gl,95.05
402,Trey Koenig,03/06/2022,points_ipf_gl,95.03
403,Jaylen Boyd,06/08/2022,points_ipf_gl,95.03
404,Kevin Elliott,03/19/2022,points_ipf_gl,95.01
405,Samuel Friedrich,03/23/2022,points_ipf_gl,94.98
406,Quinten Walker,05/29/2022,points_ipf_gl,94.96
407,John Suschak,10/15/2022,points_ipf_gl,94.87
408,Josenico Blanco,07/23/2022,points_ipf_gl,94.85
409,Stefan Kraus,02/19/2022,points_ipf_gl,94.83
410,Anotine Welch,04/23/2022,points_ipf_gl,94.82
411,Kyung-Min (John) Roh,10/15/2022,points_ipf_gl,94.81
412,Nicklas Gilmour,09/24/2022,points_ipf_gl,94.81
413,Sean Collins,09/25/2022,points_ipf_gl,94.8
414,Ariel Merivil,03/12/2022,points_ipf_gl,94.79
415,Matthew Octaviano,01/15/2022,points_ipf_gl,94.77
416,John Tong,04/23/2022,points_ipf_gl,94.77
417,Reginald Mouton,06/08/2022,points_ipf_gl,94.75
418,Carter Welch,03/26/2022,points_ipf_gl,94.73
419,Kenneth Imperial,06/08/2022,points_ipf_gl,94.69
420,Nathaniel Hancock,06/08/2022,points_ipf_gl,94.69
421,Martimiano Altamirano,10/15/2022,points_ipf_gl,94.68
422,Justin Allamby,10/15/2022,points_ipf_gl,94.68
423,Ray Thomas,06/08/2022,points_ipf_gl,94.68
424,Kevin Hayes,02/12/2022,points_ipf_gl,94.67
425,Bradley Robinson,04/16/2022,points_ipf_gl,94.65
426,Gordon Bash,06/04/2022,points_ipf_gl,94.64
427,Andrew Wawersik,05/21/2022,points_ipf_gl,94.6
428,Jeremy Orme,03/26/2022,points_ipf_gl,94.59
429,Steven Ridges,02/19/2022,points_ipf_gl,94.58
430,Michael Berg,10/08/2022,points_ipf_gl,94.54
431,Dwight Burns,05/29/2022,points_ipf_gl,94.53
432,Justin Jang,08/13/2022,points_ipf_gl,94.46
433,Osmar Franco-Barrios,03/30/2022,points_ipf_gl,94.45
434,Jake Limbardo,07/08/2022,points_ipf_gl,94.43
435,Zachary Zills,09/03/2022,points_ipf_gl,94.43
436,Tyler Quesinberry,03/26/2022,points_ipf_gl,94.42
437,Michael Brazzel,06/08/2022,points_ipf_gl,94.41
438,Brandon Yahatta,06/04/2022,points_ipf_gl,94.38
439,Joshua Asarnow,03/26/2022,points_ipf_gl,94.31
440,Danangelo Cabal,01/22/2022,points_ipf_gl,94.29
441,Evan Wimbish,10/08/2022,points_ipf_gl,94.28
442,Terry Jiang,03/26/2022,points_ipf_gl,94.26
443,Russel Nguyen,06/25/2022,points_ipf_gl,94.24
444,Johnlou Bernard Reyes,09/24/2022,points_ipf_gl,94.21
445,Dakoda Trull,03/26/2022,points_ipf_gl,94.21
446,Ryan Dengler,03/26/2022,points_ipf_gl,94.16
447,Nathan Gorham,06/08/2022,points_ipf_gl,94.13
448,Christopher Berger,09/24/2022,points_ipf_gl,94.12
449,Jackie Vong,03/26/2022,points_ipf_gl,94.12
450,Peyton Mitties,07/16/2022,points_ipf_gl,94.08
451,Tyler Davis,07/23/2022,points_ipf_gl,94.07
