,date,search_term,interest
667,2019-09-22,double glazing,50
668,2019-09-29,double glazing,58
669,2019-10-06,double glazing,54
670,2019-10-13,double glazing,49
671,2019-10-20,double glazing,55
672,2019-10-27,double glazing,58
673,2019-11-03,double glazing,62
674,2019-11-10,double glazing,53
675,2019-11-17,double glazing,49
676,2019-11-24,double glazing,35
677,2019-12-01,double glazing,43
678,2019-12-08,double glazing,33
679,2019-12-15,double glazing,37
680,2019-12-22,double glazing,23
681,2019-12-29,double glazing,42
682,2020-01-05,double glazing,46
683,2020-01-12,double glazing,57
684,2020-01-19,double glazing,58
685,2020-01-26,double glazing,54
686,2020-02-02,double glazing,50
687,2020-02-09,double glazing,62
688,2020-02-16,double glazing,63
689,2020-02-23,double glazing,59
690,2020-03-01,double glazing,55
691,2020-03-08,double glazing,49
692,2020-03-15,double glazing,35
693,2020-03-22,double glazing,38
694,2020-03-29,double glazing,26
695,2020-04-05,double glazing,35
696,2020-04-12,double glazing,37
697,2020-04-19,double glazing,48
698,2020-04-26,double glazing,39
699,2020-05-03,double glazing,45
700,2020-05-10,double glazing,51
701,2020-05-17,double glazing,57
702,2020-05-24,double glazing,55
703,2020-05-31,double glazing,63
704,2020-06-07,double glazing,53
705,2020-06-14,double glazing,62
706,2020-06-21,double glazing,64
707,2020-06-28,double glazing,68
708,2020-07-05,double glazing,100
709,2020-07-12,double glazing,77
710,2020-07-19,double glazing,70
711,2020-07-26,double glazing,73
712,2020-08-02,double glazing,72
713,2020-08-09,double glazing,73
714,2020-08-16,double glazing,70
715,2020-08-23,double glazing,77
716,2020-08-30,double glazing,84
717,2020-09-06,double glazing,76
718,2020-09-13,double glazing,70
719,2020-09-20,double glazing,72
720,2020-09-27,double glazing,76
721,2020-10-04,double glazing,81
722,2020-10-11,double glazing,75
723,2020-10-18,double glazing,68
724,2020-10-25,double glazing,63
725,2020-11-01,double glazing,64
726,2020-11-08,double glazing,55
727,2020-11-15,double glazing,63
728,2020-11-22,double glazing,59
729,2020-11-29,double glazing,48
730,2020-12-06,double glazing,44
731,2020-12-13,double glazing,48
732,2020-12-20,double glazing,37
