,search_term,year,month,interest,date,interest_sa,price
290,energy efficient,2022,5,21.8,2022-05-01,25.828042073234123,128.6
291,insulation,2022,5,52.4,2022-05-01,73.89903144728211,128.6
292,secondary glazing,2022,5,21.2,2022-05-01,36.28683747138889,128.6
293,triple glazing,2022,5,30.6,2022-05-01,50.557607672035715,128.6
294,double glazing,2022,6,47.75,2022-06-01,53.03420142492303,129.0
295,efficient boiler,2022,6,27.0,2022-06-01,41.46780819341172,129.0
296,efficient heater,2022,6,4.5,2022-06-01,16.41945897694551,129.0
297,energy efficient,2022,6,18.75,2022-06-01,24.56041168082962,129.0
298,insulation,2022,6,51.0,2022-06-01,72.85376701692674,129.0
299,secondary glazing,2022,6,24.75,2022-06-01,40.00191598127833,129.0
300,triple glazing,2022,6,23.5,2022-06-01,42.19702798752063,129.0
301,double glazing,2022,7,51.6,2022-07-01,51.84750368058667,129.7
302,efficient boiler,2022,7,20.6,2022-07-01,33.19238439347739,129.7
303,efficient heater,2022,7,5.8,2022-07-01,17.297579783430045,129.7
304,energy efficient,2022,7,22.6,2022-07-01,25.657781152608543,129.7
305,insulation,2022,7,51.4,2022-07-01,71.24110555985794,129.7
306,secondary glazing,2022,7,23.6,2022-07-01,39.174694412795496,129.7
307,triple glazing,2022,7,39.8,2022-07-01,51.37840152956045,129.7
308,double glazing,2022,8,57.75,2022-08-01,56.28149694988658,129.8
309,efficient boiler,2022,8,68.0,2022-08-01,71.21023829343899,129.8
310,efficient heater,2022,8,25.0,2022-08-01,30.3710199357388,129.8
311,energy efficient,2022,8,53.5,2022-08-01,50.346875740963824,129.8
312,insulation,2022,8,68.5,2022-08-01,83.89893687636692,129.8
313,secondary glazing,2022,8,40.0,2022-08-01,50.3682154135943,129.8
314,triple glazing,2022,8,38.0,2022-08-01,56.4779726180338,129.8
315,double glazing,2022,9,57.75,2022-09-01,56.44596613080538,130.3
316,efficient boiler,2022,9,56.75,2022-09-01,56.9236905463529,130.3
317,efficient heater,2022,9,62.0,2022-09-01,52.86063544753375,130.3
318,energy efficient,2022,9,65.5,2022-09-01,56.36923521024138,130.3
319,insulation,2022,9,82.5,2022-09-01,88.05964936986791,130.3
320,secondary glazing,2022,9,70.25,2022-09-01,65.14897480480775,130.3
321,triple glazing,2022,9,50.25,2022-09-01,57.29996916399122,130.3
322,double glazing,2022,10,56.8,2022-10-01,54.29999999999999,141.6
323,efficient boiler,2022,10,58.2,2022-10-01,45.97777777777778,141.6
324,efficient heater,2022,10,43.8,2022-10-01,33.35555555555556,141.6
325,energy efficient,2022,10,55.8,2022-10-01,44.63333333333335,141.6
326,insulation,2022,10,77.8,2022-10-01,76.68888888888887,141.6
327,secondary glazing,2022,10,54.4,2022-10-01,43.51111111111112,141.6
328,triple glazing,2022,10,48.0,2022-10-01,50.16666666666665,141.6
