,date,search_term,interest,month,year,m_1,m_10,m_11,m_12,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,y_2018,y_2019,y_2020,y_2021,y_2022,interest_sa
193,2022-08-14,insulation,58,8,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,73.39893687636693
194,2022-08-21,insulation,77,8,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,92.39893687636693
195,2022-08-28,insulation,82,8,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,97.39893687636693
196,2022-09-04,insulation,78,9,2022,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,83.55964936986791
197,2022-09-11,insulation,80,9,2022,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,85.55964936986791
198,2022-09-18,insulation,76,9,2022,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,81.55964936986791
199,2022-09-25,insulation,96,9,2022,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,101.55964936986791
200,2022-10-02,insulation,89,10,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87.88888888888887
201,2022-10-09,insulation,82,10,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80.88888888888887
202,2022-10-16,insulation,77,10,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75.88888888888887
203,2022-10-23,insulation,65,10,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.88888888888887
204,2022-10-30,insulation,76,10,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74.88888888888887
205,2022-11-06,insulation,81,11,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77.13618278552711
206,2022-11-13,insulation,84,11,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80.13618278552711
207,2022-11-20,insulation,92,11,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88.13618278552711
208,2018-12-02,efficient heater,14,12,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12.559930116377009
209,2018-12-09,efficient heater,13,12,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11.559930116377009
210,2018-12-16,efficient heater,8,12,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6.559930116377009
211,2018-12-23,efficient heater,5,12,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.559930116377009
212,2018-12-30,efficient heater,18,12,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.55993011637701
213,2019-01-06,efficient heater,11,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.0
214,2019-01-13,efficient heater,30,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.0
215,2019-01-20,efficient heater,13,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13.0
216,2019-01-27,efficient heater,18,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.0
